mqc_id	VariantClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	SNVCaller
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-SNPts	SNPts	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377589355.0	26279.0	246982.0	25187.0	0.9056414205305905	0.9038318677015746	0.9999332997085689	0.09254176632900882	0.9074582336709912	0.9074582336709912	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-SNPtv	SNPtv	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377738256.0	12234.0	112126.0	15355.0	0.890450720891356	0.9016243165004825	0.9999593518114642	0.12044932185972812	0.8795506781402719	0.8795506781402719	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-INS_50	INS_50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377832390.0	4282.0	25944.0	11380.0	0.7681421169504071	0.8583338847349964	0.9999698817318068	0.30489765298467475	0.6951023470153253	0.6951023470153253	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-INS_gt50	INS_gt50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377862586.0	22.0	8.0	159.0	0.08121827411167513	0.26666666666666666	0.9999995792122878	0.9520958083832335	0.04790419161676651	0.04790419161676647	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-DEL_50	DEL_50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377830457.0	4486.0	27673.0	12220.0	0.7681396769000166	0.8605056127367144	0.9999676584971898	0.3063194044067882	0.6936805955932118	0.6936805955932118	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-DEL_gt50	DEL_gt50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377862598.0	15.0	3.0	155.0	0.034090909090909095	0.16666666666666666	0.9999995897981508	0.9810126582278481	0.01898734177215189	0.0189873417721519	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-Indel_50	Indel_50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377860964.0	739.0	913.0	365.0	0.6232081911262799	0.5526634382566586	0.9999990340371666	0.2856025039123631	0.7143974960876369	0.7143974960876369	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-Indel_gt50	Indel_gt50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377862521.0	45.0	50.0	35.0	0.5555555555555555	0.5263157894736842	0.9999999073737277	0.4117647058823529	0.5882352941176471	0.5882352941176471	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-All	All	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	377862616.0	377400815.0	48102.0	413699.0	64856.0	0.8798774081305377	0.8958382506750743	0.9998281804016027	0.13552465233881164	0.8644753476611884	0.8644753476611884	HG003	clinvar_genes	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-SNPts	SNPts	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3085963493.0	202856.0	2120052.0	243623.0	0.9047325098051181	0.912671530684814	0.9999210607095237	0.10306958443948512	0.8969304155605149	0.8969304155605149	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-SNPtv	SNPtv	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3087179223.0	97919.0	1009259.0	171300.0	0.8823208262138523	0.9115598395199327	0.9999445155324205	0.14510075311780266	0.8548992468821973	0.8548992468821973	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-INS_50	INS_50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3088018509.0	38491.0	229401.0	105681.0	0.7608984798681205	0.8563189643587714	0.9999657782545333	0.315388472075492	0.684611527924508	0.6846115279245081	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-INS_gt50	INS_gt50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3088286162.0	193.0	46.0	1221.0	0.06108897742363878	0.19246861924686193	0.99999960463524	0.9636937647987371	0.03630623520126286	0.036306235201262825	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-DEL_50	DEL_50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3088002520.0	39267.0	244614.0	115512.0	0.759662550251783	0.8616779566085789	0.9999625946939842	0.32075440262574767	0.6792455973742524	0.6792455973742524	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-DEL_gt50	DEL_gt50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3088286263.0	93.0	45.0	1236.0	0.06342494714587738	0.32608695652173914	0.9999995997781941	0.9648711943793911	0.03512880562060894	0.0351288056206089	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-Indel_50	Indel_50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3088270352.0	6903.0	9146.0	3061.0	0.6473669309173273	0.5698797432861861	0.9999990088312819	0.2507577619398706	0.7492422380601294	0.7492422380601295	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-Indel_gt50	Indel_gt50	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3088285621.0	335.0	445.0	312.0	0.5790500975927131	0.5705128205128205	0.9999998989730852	0.41215323645970936	0.5878467635402906	0.5878467635402906	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-All	All	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	3088286401.0	3084287336.0	386057.0	3613008.0	641946.0	0.875454248409169	0.9034631845193815	0.9997919090062305	0.1508702561766825	0.8491297438233175	0.8491297438233175	HG003	hg38	-1	-2	sent	gatk
I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ-sent-gatk-SNPts	SNPts	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	2528531102.0	2526276091.0	187168.0	2067843.0	6633.0	0.9552369599446772	0.9169990745056232	0.9999973744031351	0.0031974339544058356	0.9968025660455941	0.9968025660455941	HG003	giabHC	-1	-2	sent	gatk
