Unit	SR_Cov	ONT_Cov	Status	Failure_Reason	WgsCoverageMean	WgsCoverageMedian	SNPts_Fscore	SNPts_Precision	SNPts_Recall	SNPts_FN	SNPts_FP	SNPtv_Fscore	SNPtv_Precision	SNPtv_Recall	SNPtv_FN	SNPtv_FP	DEL_50_Fscore	DEL_50_Precision	DEL_50_Recall	DEL_50_FN	DEL_50_FP	INS_50_Fscore	INS_50_Precision	INS_50_Recall	INS_50_FN	INS_50_FP	Indel_50_Fscore	Indel_50_Precision	Indel_50_Recall	Indel_50_FN	Indel_50_FP	Total_Wall_Min	Total_Cost_USD	Alignment_Cost	VariantCalling_Cost	Concordance_Cost	Alignstats_Cost	Alignment_Wall_Min	VariantCalling_Wall_Min	Concordance_Wall_Min	Alignstats_Wall_Min
SR1x-ONT1x	1	1	Complete		0.52	0	0.179902	0.136888	0.262333	50151	112454	0.139141	0.094924	0.260480	25986	87272	0.208350	0.148029	0.351644	18471	57658	0.203846	0.147917	0.327786	18945	53216	0.130507	0.182123	0.101688	6228	3166	181.5	7.8649		7.8624		0.0025	0.0	181.1		0.3
SR1x-ONT3x	1	3	Failed/Pending	sentdhio_snv failed (no diagnostic output)	1.56	1																										0.6	0.0042				0.0042	0.0			0.6
SR1x-ONT7x	1	7	Failed/Pending	sentdhio_snv failed (no diagnostic output)	3.64	3																										1.0	0.0073				0.0073	0.0			1.0
SR1x-ONT10x	1	10	Failed/Pending	sentdhio_snv failed (no diagnostic output)	5.20	5																										1.3	0.0110				0.0110	0.0			1.3
SR1x-ONT15x	1	15	Failed/Pending	sentdhio_snv failed (no diagnostic output)	7.80	8																										1.9	0.0156				0.0156	0.0			1.9
SR1x-ONT20x	1	20	Failed/Pending	sentdhio_snv failed (no diagnostic output)	10.35	10																										2.4	0.0199				0.0199	0.0			2.4
SR1x-ONT30x	1	30	Failed/Pending	sentdhio_snv failed (no diagnostic output)	15.64	16																										2.8	0.0229				0.0229	0.0			2.8
SR3x-ONT1x	3	1	Complete		0.52	0	0.260686	0.167545	0.587016	28061	198175	0.203926	0.123303	0.589149	14434	147165	0.246476	0.151530	0.660053	9938	108045	0.244703	0.151511	0.635729	10440	102035	0.279673	0.187608	0.549168	2682	14147	204.8	8.6386		8.6358		0.0028	0.0	204.4		0.3
SR3x-ONT3x	3	3	In Progress		1.56	1																										0.6	0.0048				0.0048	0.0			0.6
SR3x-ONT7x	3	7	Failed/Pending	sentdhio_snv failed (no diagnostic output)	3.64	3																										1.0	0.0073				0.0073	0.0			1.0
SR3x-ONT10x	3	10	Failed/Pending	sentdhio_snv failed (no diagnostic output)	5.20	5																										1.4	0.0112				0.0112	0.0			1.4
SR3x-ONT15x	3	15	Failed/Pending	sentdhio_snv failed (no diagnostic output)	7.80	8																										1.9	0.0154				0.0154	0.0			1.9
SR3x-ONT20x	3	20	Failed/Pending	sentdhio_snv failed (no diagnostic output)	10.35	10																										2.4	0.0198				0.0198	0.0			2.4
SR3x-ONT30x	3	30	Failed/Pending	sentdhio_snv failed (no diagnostic output)	15.64	16																										2.5	0.0203				0.0203	0.0			2.5
SR5x-ONT1x	5	1	In Progress		0.52	0																										98.3	4.8029		4.8002		0.0027	0.0	98.0		0.3
SR5x-ONT3x	5	3	In Progress		1.56	1																										0.6	0.0047				0.0047	0.0			0.6
SR5x-ONT7x	5	7	Failed/Pending	sentdhio_snv failed (no diagnostic output)	3.64	3																										1.0	0.0083				0.0083	0.0			1.0
SR5x-ONT10x	5	10	Failed/Pending	sentdhio_snv failed (no diagnostic output)	5.20	5																										1.4	0.0112				0.0112	0.0			1.4
SR5x-ONT15x	5	15	Failed/Pending	sentdhio_snv failed (no diagnostic output)	7.80	8																										1.9	0.0155				0.0155	0.0			1.9
SR5x-ONT20x	5	20	Failed/Pending	sentdhio_snv failed (no diagnostic output)	10.35	10																										2.4	0.0173				0.0173	0.0			2.4
SR5x-ONT30x	5	30	Failed/Pending	sentdhio_snv failed (no diagnostic output)	15.64	16																										2.5	0.0205				0.0205	0.0			2.5
