sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
Ug1-HG003-10x-5-D0-PF-UG-ULTIMA.ug	ug	30290759904	93.532208	245.476893	258	318	72.161113	100.0	126704802	0.418295	1657437387	5.118729	6409581	5.194337	0	0.0	results/day/hg38_broad/Ug1-HG003-10x-5-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-10x-5-D0-PF-UG-ULTIMA.ug.na.cram	16683531164	0.0	0	0	0.0	110574035	0.365042	32379863436	99.982969	123395565	99.883251	29916244279	98.763598	263941590	0.87136	8494145732	26.232803	39435717	31.95878	27339660531	90.257427	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	2089103532	6.45186	28349697	22.974648	0	123539797	0	0.0	123539797	100.0	5515581	0.017031	144232	0.116749	0	0.0	123395565	99.883251	116985984	6409581	5.188272	2922867541	1443369633	1599534	115428	0.003599	0.049873	45.003393	261510285	8.153733	91.133244	31371173	0.978134	8922288	0.278192	5377484	0.167667	3751045	243155	0.007581	0.116955	2878438	0.089748	2361918	0.073643	9.000131	9	17.128523	123395565	0	0	0	0	123539797	32385379017	123539797
Ug1-HG003-15x-6-D0-PF-UG-ULTIMA.ug	ug	45438983148	93.532658	245.479032	258	317	72.160259	100.0	190042810	0.418237	2485700562	5.117497	9612245	5.192908	0	0.0	results/day/hg38_broad/Ug1-HG003-15x-6-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-15x-6-D0-PF-UG-ULTIMA.ug.na.cram	25003496420	0.0	0	0	0.0	165869276	0.365037	48572583873	99.982934	185103317	99.883097	44877166776	98.763581	395947096	0.871382	12742058184	26.233025	59154261	31.957429	41012293810	90.257948	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	3133600725	6.451377	42524835	22.973567	0	185319962	0	0.0	185319962	100.0	8290581	0.017066	216645	0.116903	0	0.0	185103317	99.883097	175491072	9612245	5.186837	2927903048	2505171744	2491254	179123	0.005579	0.077592	78.025052	1413180612	44.014344	91.191268	381009030	11.866751	20863413	0.649803	10705928	0.333442	7188541	421644	0.013132	0.223891	5262746	0.163911	4095283	0.12755	13.486516	14	25.559174	185103317	0	0	0	0	185319962	48580874454	185319962
Ug1-HG003-1x-1-D0-PF-UG-ULTIMA.ug	ug	3027003878	93.534433	245.471525	258	318	72.142971	100.0	12662794	0.418328	165527944	5.11569	640191	5.191558	0	0.0	results/day/hg38_broad/Ug1-HG003-1x-1-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-1x-1-D0-PF-UG-ULTIMA.ug.na.cram	1677722640	0.0	0	0	0.0	11046777	0.364941	3235691653	99.982886	12331385	99.882018	2989584772	98.763824	26372329	0.871235	848746695	26.230766	3940692	31.956605	2732000503	90.254278	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	208687775	6.449557	2831866	22.964703	0	12345951	0	0.0	12345951	100.0	553847	0.017114	14566	0.117982	0	0.0	12331385	99.882018	11691194	640191	5.185433	1783279221	1802646	115744	0	0.0	0.00363	0.05654	1086086	0.034065	55.932773	778973	0.024433	488847	0.015333	334112	0.010479	245878	6073	0.00019	0.007712	201345	0.006315	170949	0.005362	0.904753	1	1.942306	12331385	0	0	0	0	12345951	3236245500	12345951
Ug1-HG003-20x-7-D0-PF-UG-ULTIMA.ug	ug	60583757061	93.532753	245.475814	258	317	72.161338	100.0	253381451	0.418233	3315563656	5.119635	12821094	5.194905	0	0.0	results/day/hg38_broad/Ug1-HG003-20x-7-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-20x-7-D0-PF-UG-ULTIMA.ug.na.cram	33316621395	0.0	0	0	0.0	221166529	0.365059	64761721346	99.982939	246801329	99.883161	59834685868	98.763578	527904664	0.871363	16989659054	26.234107	78875325	31.959036	54681723717	90.25806	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	4177964285	6.451287	56694495	22.971714	0	247090027	0	0.0	247090027	100.0	11051029	0.017061	288698	0.116839	0	0.0	246801329	99.883161	233980235	12821094	5.188835	2929992631	2776769123	3657640	242581	0.007552	0.11387	86.446652	2359863079	73.467492	91.216822	1395389223	43.441396	104966486	3.267827	18863648	0.587265	11841333	589867	0.018364	0.368646	8531449	0.265602	6545677	0.203781	17.973414	19	33.991863	246801329	0	0	0	0	247090027	64772772375	247090027
Ug1-HG003-30x-8-D0-PF-UG-ULTIMA.ug	ug	90873954178	93.53151	245.475872	258	317	72.163666	100.0	380081500	0.418251	4971772482	5.118043	19225371	5.193308	0	0.0	results/day/hg38_broad/Ug1-HG003-30x-8-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-30x-8-D0-PF-UG-ULTIMA.ug.na.cram	49908639107	0.0	0	0	0.0	331737276	0.365052	97142052660	99.982916	370195056	99.883089	89750412808	98.763627	791804094	0.871321	25482576287	26.232281	118309159	31.9586	82020686343	90.25764	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	6268098482	6.452508	85054497	22.97559	0	370628362	0	0.0	370628362	100.0	16598952	0.017084	433306	0.116911	0	0.0	370195056	99.883089	350969685	19225371	5.187237	2932258547	2886586942	7038678	421561	0.01312	0.219063	89.838438	2791032692	86.86453	91.259863	2609640162	81.219101	1374980385	42.79313	192629428	5.995152	29725108	882933	0.027479	0.925126	17994698	0.560044	13199933	0.410818	26.951844	28	50.871987	370195056	0	0	0	0	370628362	97158651612	370628362
Ug1-HG003-3x-2-D0-PF-UG-ULTIMA.ug	ug	9086082674	93.534364	245.479691	258	318	72.154807	100.0	38002386	0.418248	497012608	5.117237	1921972	5.192613	0	0.0	results/day/hg38_broad/Ug1-HG003-3x-2-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-3x-2-D0-PF-UG-ULTIMA.ug.na.cram	5021386240	0.0	0	0	0.0	33166794	0.365029	9712519256	99.983056	37013582	99.883147	8973747715	98.763659	79168165	0.871312	2547616367	26.230232	11826504	31.951795	8200882521	90.257626	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	626436582	6.449785	8500842	22.966818	0	37056884	0	0.0	37056884	100.0	1645937	0.016944	43302	0.116853	0	0.0	37013582	99.883147	35091610	1921972	5.186545	2723891750	12190728	422474	15324	0.000479	0.013215	0.381329	4180769	0.130775	85.203945	2690212	0.08415	1635267	0.051152	1186963	0.037128	910598	61344	0.001919	0.028484	751020	0.023492	641262	0.020059	2.708412	2	5.329247	37013582	0	0	0	0	37056884	9714165193	37056884
Ug1-HG003-40x-9-D0-PF-UG-ULTIMA.ug	ug	121165424689	93.53195	245.480303	258	317	72.160108	100.0	506762832	0.41824	6629330873	5.118294	25633059	5.19324	0	0.0	results/day/hg38_broad/Ug1-HG003-40x-9-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-40x-9-D0-PF-UG-ULTIMA.ug.na.cram	66499320913	0.0	0	0	0.0	442356706	0.365085	129522275918	99.982904	493585119	99.883123	119667258061	98.763536	1055809922	0.871379	33976138038	26.231888	157736431	31.957291	109361103308	90.257682	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	8356851229	6.452057	113401705	22.975106	0	494162683	0	0.0	494162683	100.0	22147266	0.017096	577564	0.116877	0	0.0	493585119	99.883123	467952060	25633059	5.18717	2933606803	2908075575	11483803	589306	0.018339	0.357369	90.497441	2875134199	89.472327	91.291957	2794929723	86.976415	2489349576	77.466958	1363281351	42.424439	276384942	1259204	0.039186	8.600922	44195049	1.375321	23641240	0.7357	35.931854	38	67.751615	493585119	0	0	0	0	494162683	129544423184	494162683
Ug1-HG003-50x-10-D0-PF-UG-ULTIMA.ug	ug	151459378194	93.532018	245.479549	258	317	72.158234	100.0	633464070	0.41824	8286947463	5.118385	32043494	5.193487	0	0.0	results/day/hg38_broad/Ug1-HG003-50x-10-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-50x-10-D0-PF-UG-ULTIMA.ug.na.cram	83092744554	0.0	0	0	0.0	552936559	0.365073	161905497829	99.982901	616993876	99.883184	149586727164	98.763595	1319714471	0.871332	42473252898	26.23336	197180821	31.958311	136704457357	90.258166	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	10446119635	6.451986	141754032	22.97495	0	617715465	0	0.0	617715465	100.0	27689426	0.017099	721589	0.116816	0	0.0	616993876	99.883184	584950382	32043494	5.18742	2934546496	2914019017	17569659	735423	0.022884	0.5467	90.673063	2901224161	90.274937	91.311799	2866647040	89.19903	2713207325	84.424576	2392231861	74.437054	1355999205	1587169	0.049387	42.19348	351549329	10.938863	63646939	1.980448	44.910793	48	84.598532	616993876	0	0	0	0	617715465	161933187255	617715465
Ug1-HG003-5x-3-D0-PF-UG-ULTIMA.ug	ug	15143760099	93.534121	245.479972	258	318	72.15359	100.0	63347931	0.41831	828523958	5.118175	3204217	5.194028	0	0.0	results/day/hg38_broad/Ug1-HG003-5x-3-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-5x-3-D0-PF-UG-ULTIMA.ug.na.cram	8356213863	0.0	0	0	0.0	55282103	0.365049	16187877247	99.98302	61690410	99.882831	14956525805	98.763621	131952191	0.87133	4246889705	26.235001	19715987	31.959566	13668384000	90.257531	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	1044117148	6.449994	14170963	22.971096	0	61762777	0	0.0	61762777	100.0	2749091	0.01698	72367	0.117169	0	0.0	61690410	99.882831	58486193	3204217	5.187942	2878907530	108822576	743311	49497	0.001546	0.023221	3.399676	10562260	0.329971	89.938623	5720914	0.178724	2984661	0.093242	2059252	0.064332	1616874	114988	0.003592	0.050512	1329570	0.041536	1106130	0.034556	4.508366	4	8.689727	61690410	0	0	0	0	61762777	16190626338	61762777
Ug1-HG003-7x-4-D0-PF-UG-ULTIMA.ug	ug	21201412770	93.532608	245.478091	258	317	72.162564	100.0	88675769	0.418254	1160032923	5.118493	4486070	5.194144	0	0.0	results/day/hg38_broad/Ug1-HG003-7x-4-D0-PF-UG-ULTIMA/align/ug/na/Ug1-HG003-7x-4-D0-PF-UG-ULTIMA.ug.na.cram	11688897654	0.0	0	0	0.0	77398056	0.365061	22663565885	99.983074	86367841	99.883226	20939271231	98.763566	184743483	0.871373	5945433200	26.233441	27602826	31.959611	19135916173	90.257741	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	1462153115	6.451558	19842991	22.974976	0	86468814	0	0.0	86468814	100.0	3836645	0.016926	100973	0.116774	0	0.0	86367841	99.883226	81881771	4486070	5.188079	2911235685	481188649	1072409	73524	0.002295	0.033468	15.017274	35527758	1.108775	90.855893	10387399	0.324177	4917370	0.153465	3126337	0.097569	2330091	165865	0.005176	0.072719	1884005	0.058797	1606842	0.050147	6.305402	6	12.063901	86367841	0	0	0	0	86468814	22667402530	86468814
