platform	sample_base	aligner	nominal_cov	WgsCoverageMean	WgsCoverageMedian	SNPts_Fscore	SNPtv_Fscore	INS_50_Fscore	DEL_50_Fscore	Indel_50_Fscore
ILMN	I2-HG003-1x-1-D0-PF-ILMN-NOVASEQ	sent	1	1.147866	1	0.344730	0.342559	0.450779	0.461990	0.231008
ILMN	I2-HG003-3x-2-D0-PF-ILMN-NOVASEQ	sent	3	3.434580	3	0.791838	0.789907	0.811735	0.809957	0.810031
ILMN	I2-HG003-5x-3-D0-PF-ILMN-NOVASEQ	sent	5	5.712389	5	0.919588	0.917944	0.915872	0.916930	0.941496
ILMN	I2-HG003-7x-4-D0-PF-ILMN-NOVASEQ	sent	7	7.977727	8	0.964090	0.962712	0.957562	0.958557	0.982310
ILMN	I2-HG003-10x-5-D0-PF-ILMN-NOVASEQ	sent	10	11.355239	11	0.985333	0.984663	0.980402	0.984140	0.991579
ILMN	I2-HG003-15x-6-D0-PF-ILMN-NOVASEQ	sent	15	16.938101	17	0.992867	0.992445	0.991840	0.993935	0.996128
ILMN	I2-HG003-20x-7-D0-PF-ILMN-NOVASEQ	sent	20	22.458891	22	0.994541	0.994150	0.994690	0.995865	0.998745
ILMN	I2-HG003-30x-8-D0-PF-ILMN-NOVASEQ	sent	30	33.318499	33	0.995752	0.995475	0.996076	0.996938	0.998602
ILMN	I2-HG003-40x-9-D0-PF-ILMN-NOVASEQ	sent	40	43.945790	44	0.996185	0.995792	0.996858	0.997618	0.999223
ONT	On1-HG003-1x-1-D0-PF-ONT-PROMETHION	ont	1	0.519342	0	0.439293	0.435383	0.238092	0.248404	0.218367
ONT	On1-HG003-3x-2-D0-PF-ONT-PROMETHION	ont	3	1.556324	1	0.753170	0.750900	0.481192	0.474032	0.557663
ONT	On1-HG003-5x-3-D0-PF-ONT-PROMETHION	ont	5	2.594858	2	0.869008	0.869161	0.605503	0.580684	0.732231
ONT	On1-HG003-7x-4-D0-PF-ONT-PROMETHION	ont	7	3.642082	3	0.918854	0.919680	0.676178	0.644473	0.797510
ONT	On1-HG003-10x-5-D0-PF-ONT-PROMETHION	ont	10	5.204525	5	0.957038	0.958905	0.750559	0.715655	0.837991
ONT	On1-HG003-15x-6-D0-PF-ONT-PROMETHION	ont	15	7.802832	8	0.980773	0.981554	0.815121	0.796403	0.887593
ONT	On1-HG003-20x-7-D0-PF-ONT-PROMETHION	ont	20	10.350670	10	0.989702	0.989093	0.844454	0.837812	0.901246
ONT	On1-HG003-30x-8-D0-PF-ONT-PROMETHION	ont	30	15.643172	16	0.803414	0.806878	0.707743	0.713289	0.814940
ONT	On1-HG003-40x-9-D0-PF-ONT-PROMETHION	ont	40	20.774590	21	0.997782	0.996894	0.901069	0.906788	0.909228
ONT	On1-HG003-50x-10-D0-PF-ONT-PROMETHION	ont	50	25.976353	26	0.998248	0.997409	0.913333	0.918075	0.918543
PacBio	Pb-HG003-1x-1-D0-PF-PACBIO-REVIO	sentmm2	1	1.003362	1	0.624903	0.620398	0.474958	0.478434	0.496512
PacBio	Pb-HG003-3x-2-D0-PF-PACBIO-REVIO	sentmm2	3	2.996719	3	0.891463	0.888448	0.726748	0.750664	0.861444
PacBio	Pb-HG003-5x-3-D0-PF-PACBIO-REVIO	sentmm2	5	4.994653	5	0.957270	0.954400	0.836417	0.862662	0.939461
PacBio	Pb-HG003-7x-4-D0-PF-PACBIO-REVIO	sentmm2	7	6.994198	7	0.978687	0.976176	0.897547	0.919754	0.965786
PacBio	Pb-HG003-10x-5-D0-PF-PACBIO-REVIO	sentmm2	10	9.996420	10	0.990467	0.989126	0.941575	0.960348	0.983558
PacBio	Pb-HG003-15x-6-D0-PF-PACBIO-REVIO	sentmm2	15	15.000150	15	0.996248	0.995481	0.968134	0.984445	0.991669
PacBio	Pb-HG003-20x-7-D0-PF-PACBIO-REVIO	sentmm2	20	20.006106	20	0.998000	0.997357	0.979258	0.992677	0.995595
PacBio	Pb-HG003-30x-8-D0-PF-PACBIO-REVIO	sentmm2	30	29.999904	31	0.998783	0.998149	0.984869	0.996704	0.998065
Roche	R0-HG003-1x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	1	1.337987	1	0.405825	0.404029	0.318550	0.331738	0.020158
Roche	R0-HG003-3x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	3	4.013437	4	0.837986	0.836889	0.755935	0.782688	0.531511
Roche	R0-HG003-5x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	5	6.688102	7	0.941436	0.940548	0.886053	0.911701	0.880791
Roche	R0-HG003-7x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	7	9.364054	9	0.973124	0.972057	0.937148	0.956324	0.966594
Roche	R0-HG003-10x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	10	13.376837	14	0.986631	0.985943	0.968860	0.980425	0.988971
Roche	R0-HG003-15x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	15	20.065067	21	0.990608	0.989801	0.984560	0.990250	0.994499
Roche	R0-HG003-20x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	20	26.752980	28	0.991202	0.990482	0.989133	0.992208	0.996114
Roche	R0-HG003-30x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	30	40.128796	42	0.991557	0.990799	0.991505	0.993643	0.996597
Roche	R0-HG003-40x-0-D0-PCR-FREE-ROCHE-SBX-DUPLEX	roche	40	53.503296	56	0.991413	0.990856	0.992315	0.993751	0.996597
Ultima	Ug1-HG003-1x-1-D0-PF-UG-ULTIMA	ug	1	0.904753	1	0.217064	0.215939	0.222053	0.211007	0.233862
Ultima	Ug1-HG003-3x-2-D0-PF-UG-ULTIMA	ug	3	2.708412	2	0.656885	0.648964	0.555134	0.536651	0.655255
Ultima	Ug1-HG003-5x-3-D0-PF-UG-ULTIMA	ug	5	4.508366	4	0.834987	0.826983	0.703432	0.695837	0.774729
Ultima	Ug1-HG003-7x-4-D0-PF-UG-ULTIMA	ug	7	6.305402	6	0.911614	0.904476	0.777299	0.770513	0.821308
Ultima	Ug1-HG003-10x-5-D0-PF-UG-ULTIMA	ug	10	9.000131	9	0.958933	0.953871	0.831787	0.833583	0.851062
Ultima	Ug1-HG003-15x-6-D0-PF-UG-ULTIMA	ug	15	13.486516	14	0.983077	0.979006	0.871056	0.879021	0.872515
Ultima	Ug1-HG003-20x-7-D0-PF-UG-ULTIMA	ug	20	17.973414	19	0.989416	0.986236	0.889264	0.901477	0.887436
Ultima	Ug1-HG003-30x-8-D0-PF-UG-ULTIMA	ug	30	26.951844	28	0.992969	0.990678	0.904928	0.920693	0.900621
Ultima	Ug1-HG003-40x-9-D0-PF-UG-ULTIMA	ug	40	35.931854	38	0.993888	0.992165	0.914212	0.927298	0.909283
Ultima	Ug1-HG003-50x-10-D0-PF-UG-ULTIMA	ug	50	44.910793	48	0.994249	0.992762	0.921150	0.930677	0.912149
