SampleID,Sex,Trio (family),SMN1/2 genotype (public refs),FASTQ dir (Phase 3),ENA FASTQ TSV,NYGC 30x (PRJEB31736) TSV,Set
NA00232,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA00232/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA00232%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA00232%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA10684,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA10684/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA10684%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA10684%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA22592,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA22592/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA22592%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA22592%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA09677,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA09677/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA09677%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA09677%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA03813,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA03813/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA03813%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA03813%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA03815,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA03815/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA03815%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA03815%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA20760,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20760/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA20760%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA20760%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA20787,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20787/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA20787%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA20787%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA23687,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA23687/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA23687%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA23687%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA23688,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA23688/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA23688%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA23688%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
NA20764,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/NA20764/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22NA20764%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22NA20764%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG00346,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00346/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00346%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG00346%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG00281,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG00281/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG00281%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG00281%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
HG01773,,,,http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/phase3/data/HG01773/sequence_read/,"https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,library_strategy,library_layout,instrument_platform,instrument_model,fastq_ftp&query=sample_alias%3D%22HG01773%22%20AND%20tax_eq(9606)","https://www.ebi.ac.uk/ena/portal/api/search?result=read_run&format=tsv&limit=0&fields=run_accession,study_accession,first_public,instrument_model,fastq_ftp,bam_ftp&query=sample_alias%3D%22HG01773%22%20AND%20project_accession%3D%22PRJEB31736%22%20AND%20tax_eq(9606)",positive
