Sample	VariantClass	InputSample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	Deduper	SNVCaller
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPts	SNPts	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377589403.0	3304.0	269909.0	30464.0	0.9411282702158003	0.9879068711957337	0.9999193262784556	0.101420567094912	0.898579432905088	0.898579432905088	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPtv	SNPtv	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377738154.0	1650.0	122812.0	18954.0	0.9226076896494735	0.9867429416207356	0.9999498249017726	0.1336991944471876	0.8663008055528124	0.8663008055528124	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.INS_50	INS_50	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377830657.0	482.0	31477.0	21179.0	0.7440052000236366	0.9849181764135299	0.9999439489292306	0.40221437253114556	0.5977856274688544	0.5977856274688544	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.INS_gt50	INS_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862583.0	17.0	16.0	352.0	0.07980049875311722	0.48484848484848486	0.9999990684452816	0.9565217391304348	0.04347826086956519	0.043478260869565216	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.DEL_50	DEL_50	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377830409.0	384.0	31823.0	18908.0	0.7673925100677615	0.9880771260906014	0.9999499588879766	0.37271096568173306	0.6272890343182669	0.627289034318267	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.DEL_gt50	DEL_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862597.0	7.0	12.0	344.0	0.064	0.631578947368421	0.9999990896169942	0.9662921348314607	0.0337078651685393	0.033707865168539325	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.Indel_50	Indel_50	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862573.0	0.0	43.0	86.0	0.5	1.0	0.9999997724040787	0.6666666666666666	0.33333333333333337	0.3333333333333333	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.Indel_gt50	Indel_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862616.0	0.0	0.0	4.0			0.9999999894141421	1.0	0.0	0.0	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.All	All	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377400680.0	5844.0	456092.0	90291.0	0.9046581488596368	0.9873488968168751	0.999760812822196	0.1652522131911132	0.8347477868088868	0.8347477868088868	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPts	SNPts	20260514-LH01106-0009-B23TVLGLT4-HIOMRFULL-HG003-a-20260514-Altair3-ONT-full-HIOMR-0-HG003-a-PF-ILMN-NOVASEQ	2528531102.0	2526276399.0	12886.0	2241817.0	1907.0	0.9967115171592204	0.9942848348540806	0.9999992451346332	0.0008499262832683521	0.9991500737167317	0.9991500737167317	HG003	giabHC	-1	-2	ont	dmd	sentdhiomr
