Sample	VariantClass	InputSample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	Deduper	SNVCaller
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPts	SNPts	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377589399.0	4829.0	268388.0	30185.0	0.9387642316234981	0.9823254043489241	0.9999200650567953	0.10109755403201227	0.8989024459679877	0.8989024459679877	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPtv	SNPtv	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377738127.0	2354.0	122135.0	18608.0	0.9209673040960367	0.9810906987765987	0.9999507407856011	0.1322126144817149	0.8677873855182852	0.867787385518285	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.INS_50	INS_50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377830668.0	605.0	31343.0	21082.0	0.7429627961551681	0.9810629773381745	0.9999442056309121	0.40213638531235096	0.597863614687649	0.597863614687649	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.INS_gt50	INS_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862584.0	16.0	16.0	319.0	0.08719346049046321	0.5	0.999999155778465	0.9522388059701492	0.047761194029850795	0.04776119402985075	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.DEL_50	DEL_50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377830396.0	508.0	31712.0	18837.0	0.7662772293974797	0.9842333954065797	0.9999501467824866	0.372648321430691	0.627351678569309	0.627351678569309	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.DEL_gt50	DEL_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862598.0	7.0	11.0	289.0	0.06918238993710693	0.6111111111111112	0.9999992351723074	0.9633333333333334	0.036666666666666625	0.03666666666666667	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.Indel_50	Indel_50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862572.0	3.0	41.0	87.0	0.4767441860465117	0.9318181818181818	0.9999997697576145	0.6796875	0.3203125	0.3203125	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.Indel_gt50	Indel_gt50	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377862616.0	0.0	0.0	3.0			0.9999999920606065	1.0	0.0	0.0	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.All	All	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	377862616.0	377400648.0	8322.0	453646.0	89410.0	0.9027565510873372	0.9819857652478093	0.9997631460799956	0.1646423204973336	0.8353576795026664	0.8353576795026664	HG003	clinvar_genes	-1	-2	ont	dmd	sentdhiomr
20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ.ont.dmd.sentdhiomr.SNPts	SNPts	20260514-LH01106-0009-B23TVLGLT4-HIOMR-ILMN20X-ONT7X-HG003-a-20260514-Altair3-ONT-HIOMR-ILMN20x-ONT7x-0-HG003-a-PF-ILMN-NOVASEQ	2528531102.0	2526276387.0	18865.0	2235850.0	2748.0	0.9951899633967186	0.9916330888826304	0.9999989122342176	0.0012275540315858408	0.9987724459684142	0.9987724459684142	HG003	giabHC	-1	-2	ont	dmd	sentdhiomr
