Sample	VariantClass	InputSample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	ROI	AllVarMeanDP	CovBin	Aligner	Deduper	SNVCaller
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.SNPts	SNPts	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.SNPtv	SNPtv	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.INS_50	INS_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.INS_gt50	INS_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.DEL_50	DEL_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.DEL_gt50	DEL_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.Indel_50	Indel_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.Indel_gt50	Indel_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ			0.0	0.0	0.0							HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.All	All	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	349207502.0	349207502.0	0.0	0.0	0.0			1.0				HG003	altair-v1.1	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.SNPts	SNPts	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377589402.0	8427.0	264787.0	30231.0	0.9319679285925467	0.9691560461762574	0.9999199432514675	0.1024717135903572	0.8975282864096428	0.8975282864096428	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.SNPtv	SNPtv	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377738104.0	4096.0	120416.0	18361.0	0.9147058935238465	0.9671035723464405	0.999951394610811	0.1323057855408317	0.8676942144591683	0.8676942144591683	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.INS_50	INS_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377830695.0	928.0	30993.0	20735.0	0.741024997310189	0.9709282290655055	0.9999451239340288	0.40084673677698734	0.5991532632230127	0.5991532632230127	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.INS_gt50	INS_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377862582.0	22.0	12.0	240.0	0.0839160839160839	0.35294117647058826	0.9999993648488658	0.9523809523809523	0.04761904761904767	0.047619047619047616	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.DEL_50	DEL_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377830410.0	826.0	31380.0	18833.0	0.7614749026316747	0.9743526051046388	0.9999501573700387	0.3750622348794137	0.6249377651205863	0.6249377651205863	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.DEL_gt50	DEL_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377862597.0	11.0	8.0	208.0	0.06808510638297872	0.42105263157894735	0.9999994495356589	0.9629629629629629	0.03703703703703709	0.037037037037037035	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.Indel_50	Indel_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377862569.0	4.0	43.0	94.0	0.46739130434782605	0.9148936170212766	0.9999997512323677	0.6861313868613139	0.3138686131386861	0.31386861313868614	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.Indel_gt50	Indel_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377862616.0	0.0	0.0	2.0			0.999999994707071	1.0	0.0	0.0	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.All	All	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	377862616.0	377400663.0	14314.0	447639.0	88704.0	0.8968061576927084	0.9690141637785662	0.9997650158977855	0.16538670216633758	0.8346132978336624	0.8346132978336624	HG003	clinvar_genes	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.SNPts	SNPts	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	2528531102.0	2526276381.0	35419.0	2219302.0	4487.0	0.9910894471598813	0.9842911828115319	0.9999982238712818	0.0020177274012957163	0.9979822725987043	0.9979822725987043	HG003	giabHC	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.SNPtv	SNPtv	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	2528531102.0	2527458362.0	16915.0	1055825.0	2338.0	0.9909648632528089	0.9842319667393776	0.9999990749608886	0.002209489464288583	0.9977905105357114	0.9977905105357114	HG003	giabHC	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.INS_50	INS_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	2528531102.0	2528280416.0	3193.0	247493.0	264.0	0.9930644025495393	0.987262950463927	0.9999998955812137	0.001065560206169755	0.9989344397938302	0.9989344397938302	HG003	giabHC	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.INS_gt50	INS_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	2528531102.0	2528531098.0	1.0	3.0	1.0	0.75	0.75	0.9999999996045135	0.25	0.75	0.75	HG003	giabHC	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.DEL_50	DEL_50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	2528531102.0	2528277630.0	3163.0	250309.0	271.0	0.9931872108433257	0.9875213041282667	0.999999892812416	0.001081490941016841	0.9989185090589832	0.9989185090589832	HG003	giabHC	-1	-2	sent	dmd	sentd
R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ.sent.dmd.sentd.DEL_gt50	DEL_gt50	R0-HG003-D0-0-D0-PCR-FREE-ILMN-NOVASEQ	2528531102.0	2528531102.0	0.0	0.0	2.0			0.9999999992090269	1.0	0.0	0.0	HG003	giabHC	-1	-2	sent	dmd	sentd
